date,time,country,country_code,opposing_country,spi,opposing_spi,spi_offense,opposing_spi_offense,spi_defense,opposing_spi_defense,sixteen,win
10-Jun,14:00,Algeria,ALG,GER,63.43,88.87,1.1208,3.1937,1.1636,0.7755,0.2032,1
10-Jun,14:00,Argentina,ARG,SUI,90,78.05,2.8541,1.9844,0.4494,0.9249,0.9279,1
10-Jun,14:00,Belgium,BEL,USA,81.97,77.42,2.1373,2.047,0.741,1.0139,0.7688,1
10-Jun,14:00,Brazil,BRA,CHI,91.83,86.72,3.3686,2.7113,0.5175,0.7043,0.994,1
10-Jun,14:00,Chile,CHI,BRA,86.72,91.83,2.7113,3.3686,0.7043,0.5175,0.6951,0
10-Jun,14:00,Colombia,COL,URU,85.82,83.35,2.1813,2.2396,0.4528,0.6998,0.7794,1
10-Jun,14:00,Costa Rica,CRC,GRE,74.07,76.78,1.3227,1.3357,0.6993,0.5395,0.2622,1
10-Jun,14:00,France,FRA,NGA,86.12,75.23,2.4851,1.6677,0.619,0.8861,0.7974,1
10-Jun,14:00,Germany,GER,ALG,88.87,63.43,3.1937,1.1208,0.7755,1.1636,0.8806,0
10-Jun,14:00,Greece,GRE,CRC,76.78,74.07,1.3357,1.3227,0.5395,0.6993,0.3919,0
10-Jun,14:00,Mexico,MEX,NED,76.95,82.49,1.5534,2.3128,0.6888,0.817,0.398,0
10-Jun,14:00,Netherlands,NED,MEX,82.49,76.95,2.3128,1.5534,0.817,0.6888,0.4284,1
10-Jun,14:00,Nigeria,NGA,FRA,75.23,86.12,1.6677,2.4851,0.8861,0.619,0.3174,0
10-Jun,14:00,Switzerland,SUI,ARG,78.05,90,1.9844,2.8541,0.9249,0.4494,0.4459,0
10-Jun,14:00,Uruguay,URU,COL,83.35,85.82,2.2396,2.1813,0.6998,0.4528,0.6483,0
10-Jun,14:00,USA,USA,BEL,77.42,81.97,2.047,2.1373,1.0139,0.741,0.3228,0
11-Jun,13:30,Algeria,ALG,GER,63.43,88.87,1.1208,3.1937,1.1636,0.7755,0.2032,1
11-Jun,13:30,Argentina,ARG,SUI,90,78.05,2.8541,1.9844,0.4494,0.9249,0.9279,1
11-Jun,13:30,Belgium,BEL,USA,81.97,77.42,2.1373,2.047,0.741,1.0139,0.7688,1
11-Jun,13:30,Brazil,BRA,CHI,91.83,86.72,3.3686,2.7113,0.5175,0.7043,0.994,1
11-Jun,13:30,Chile,CHI,BRA,86.72,91.83,2.7113,3.3686,0.7043,0.5175,0.6951,0
11-Jun,13:30,Colombia,COL,URU,85.82,83.35,2.1813,2.2396,0.4528,0.6998,0.7794,1
11-Jun,13:30,Costa Rica,CRC,GRE,74.07,76.78,1.3227,1.3357,0.6993,0.5395,0.2622,1
11-Jun,13:30,France,FRA,NGA,86.12,75.23,2.4851,1.6677,0.619,0.8861,0.7974,1
11-Jun,13:30,Germany,GER,ALG,88.87,63.43,3.1937,1.1208,0.7755,1.1636,0.8806,0
11-Jun,13:30,Greece,GRE,CRC,76.78,74.07,1.3357,1.3227,0.5395,0.6993,0.3919,0
11-Jun,13:30,Mexico,MEX,NED,76.95,82.49,1.5534,2.3128,0.6888,0.817,0.398,0
11-Jun,13:30,Netherlands,NED,MEX,82.49,76.95,2.3128,1.5534,0.817,0.6888,0.4284,1
11-Jun,13:30,Nigeria,NGA,FRA,75.23,86.12,1.6677,2.4851,0.8861,0.619,0.3174,0
11-Jun,13:30,Switzerland,SUI,ARG,78.05,90,1.9844,2.8541,0.9249,0.4494,0.4459,0
11-Jun,13:30,Uruguay,URU,COL,83.35,85.82,2.2396,2.1813,0.6998,0.4528,0.6483,0
11-Jun,13:30,USA,USA,BEL,77.42,81.97,2.047,2.1373,1.0139,0.741,0.3228,0
12-Jun,9:45,Algeria,ALG,GER,63.42,88.88,1.1206,3.1935,1.1638,0.7751,0.2056,1
12-Jun,9:45,Argentina,ARG,SUI,90,78.05,2.8542,1.9845,0.4494,0.9248,0.9255,1
12-Jun,9:45,Belgium,BEL,USA,81.97,77.42,2.1378,2.0472,0.7411,1.0139,0.7746,1
12-Jun,9:45,Brazil,BRA,CHI,91.83,86.72,3.3717,2.7115,0.5197,0.7043,0.993,1
12-Jun,9:45,Chile,CHI,BRA,86.72,91.83,2.7115,3.3717,0.7043,0.5197,0.6971,0
12-Jun,9:45,Colombia,COL,URU,85.82,83.35,2.1811,2.2397,0.4528,0.6997,0.7775,1
12-Jun,9:45,Costa Rica,CRC,GRE,74.08,76.78,1.3227,1.3359,0.6992,0.5396,0.2649,1
12-Jun,9:45,France,FRA,NGA,86.13,75.23,2.4857,1.6678,0.6189,0.8861,0.805,1
12-Jun,9:45,Germany,GER,ALG,88.88,63.42,3.1935,1.1206,0.7751,1.1638,0.8831,0
12-Jun,9:45,Greece,GRE,CRC,76.78,74.08,1.3359,1.3227,0.5396,0.6992,0.3857,0
12-Jun,9:45,Mexico,MEX,NED,76.95,82.5,1.5531,2.3132,0.6888,0.817,0.3989,0
12-Jun,9:45,Netherlands,NED,MEX,82.5,76.95,2.3132,1.5531,0.817,0.6888,0.4293,1
12-Jun,9:45,Nigeria,NGA,FRA,75.23,86.13,1.6678,2.4857,0.8861,0.6189,0.3185,0
12-Jun,9:45,Switzerland,SUI,ARG,78.05,90,1.9845,2.8542,0.9248,0.4494,0.4467,0
12-Jun,9:45,Uruguay,URU,COL,83.35,85.82,2.2397,2.1811,0.6997,0.4528,0.6539,0
